hEOG,vEOG
-0.007844131793270075,-0.00501610049671002
-0.007800218896652773,-0.004983648483495484
-0.007841953938259028,-0.005016356005572752
-0.007882569012030497,-0.005057718365766099
-0.007843977494297123,-0.005033728032483588
-0.007802443986984168,-0.004985047153002516
-0.007842002241747645,-0.005016291390453838
-0.007879881915489169,-0.005057086633092342
-0.007841662933711782,-0.00502330379077027
-0.007799453729076022,-0.004988421643445262
-0.007838811441630787,-0.0050126724217101565
-0.007882316485995076,-0.005054702771082581
-0.007843830849252968,-0.005032649650935127
-0.007805114921745043,-0.004986800968660482
-0.007841391478011345,-0.005025050015382885
-0.007881266303646222,-0.005053538687576746
-0.00783766827813045,-0.005034915055697387
-0.007796610288540069,-0.004991430709955382
-0.007845445164300214,-0.005015422215719273
-0.007883307789746677,-0.005057733553894585
-0.00784334869114175,-0.005031749970658817
-0.007796735978230338,-0.004990531148429869
-0.00784446950636615,-0.005018940989104546
-0.007890576383986525,-0.005055988627932825
-0.007849968906118422,-0.005026735028284451
-0.007803927196392051,-0.004984161187305834
-0.007848254313587908,-0.0050227191867083
-0.007890469277950285,-0.005054329951187681
-0.007847139670065617,-0.005033733003613593
-0.007807631085266252,-0.004985076024653502
-0.00784989314032734,-0.005018151212139815
-0.007888211321035656,-0.005058784999099103
-0.007848119186339462,-0.005028624358492125
-0.007809401830960432,-0.004985460488770042
-0.007846671597171721,-0.005013410298537264
-0.007893166591081323,-0.0050538578768635125
-0.007846107724554212,-0.0050244171658845194
-0.007803185544463285,-0.0049820792075666856
-0.007851637954673793,-0.005021253783785016
-0.007891882058104427,-0.005060392122540054
-0.007845483506554644,-0.005029950789985144
-0.007804092587389221,-0.0049892683117056524
-0.007846027429957542,-0.0050196676113438594
-0.007892438054970481,-0.00505862146935465
-0.00785048828773446,-0.005037810115384943
-0.007807829294255717,-0.0049801117576313125
-0.007852204232573507,-0.005017662785248593
-0.00789092837667052,-0.005060431827206066
-0.007844771624799327,-0.00503170372570307
-0.00781135930263974,-0.0049921779308894805
-0.007857143878771731,-0.005018818147982356
-0.007897382673440864,-0.005054843659075477
-0.007852412116202318,-0.005028275546091184
-0.007810261175060757,-0.004989777347484528
-0.007858601598836187,-0.005025521340780046
-0.007900298605700223,-0.005059324869020604
-0.007858058583125082,-0.005034650825376899
-0.00781864367176936,-0.0049960344993966255
-0.007856784657085725,-0.005022367384995971
-0.007897357839851397,-0.005069264398299668
-0.007858377963279036,-0.0050349683761118915
-0.007817648304055978,-0.004988156614594215
-0.007857120797620461,-0.0050237960419972855
-0.007906023876335832,-0.005065536101055452
-0.007861894592016076,-0.005036556263320834
-0.007813604706078269,-0.0049909902050241685
-0.00785677266838458,-0.005019367759834613
-0.007905389503663466,-0.005068830606509662
-0.007864432381112866,-0.005035430270564824
-0.007816486862615575,-0.00499948149911081
-0.007861650676909943,-0.005038763691637274
-0.007902800032974038,-0.005068048873875074
-0.007853679343688346,-0.005022859950629472
-0.007810151866878725,-0.0049878375294298135
-0.00785941806404234,-0.005017994110921073
-0.007894872981584738,-0.00505929117586798
-0.007852676160919348,-0.005012379667357388
-0.007811104011301261,-0.004981333626422748
-0.007856342033388076,-0.005013488434401894
-0.007893917025262766,-0.005043660231049792
-0.007849953560746897,-0.005024760855905143
-0.007805939000807012,-0.004983179028936724
-0.007851242732199878,-0.005006141418392674
-0.007897472006134696,-0.005051154573252095
-0.007850789960564434,-0.005025004777651838
-0.007812200047104186,-0.004990239981621544
-0.007854459866596985,-0.0050192087256291824
-0.007892730139697619,-0.0050526258788080505
-0.007854447292024145,-0.005022254066893001
-0.007811605344733258,-0.004984374114738412
-0.00785340947446869,-0.005025983552370067
-0.007897063841871235,-0.005064392016504931
