Channel,SFD,AttEn,SVDEn,Hjorth,Participant,Condition,Dataset
Fp1,1.6888786144659118,2.094513169069829,2.311427335693415,1.468363739943697,sub-010002,Eyes-Closed,Lemon
Fp2,1.6696641738540001,2.2742179596713137,2.312078134390155,1.6151213332254473,sub-010002,Eyes-Closed,Lemon
F7,1.6827745165343784,2.0978405210709106,2.3209258109241704,1.6048872601117414,sub-010002,Eyes-Closed,Lemon
F3,1.6766795681946158,2.2478383158503785,2.315036989069209,1.5352311934896634,sub-010002,Eyes-Closed,Lemon
Fz,1.6585519039026955,2.466958610705147,2.314499053486955,1.5432513189319235,sub-010002,Eyes-Closed,Lemon
F4,1.673000239618815,2.3631110734356495,2.3100652399522295,1.5434542832797156,sub-010002,Eyes-Closed,Lemon
F8,1.672532246411252,2.2491913605556633,2.3169908879196712,1.6499838857163553,sub-010002,Eyes-Closed,Lemon
FC5,1.713688536511098,1.8942122636678151,2.320624585269516,1.3245124133986375,sub-010002,Eyes-Closed,Lemon
FC1,1.6615952223573176,2.406431135839546,2.3181063805518374,1.5415708029294668,sub-010002,Eyes-Closed,Lemon
FC2,1.6625140594554009,2.440007613347449,2.3149618110701313,1.516687738948251,sub-010002,Eyes-Closed,Lemon
FC6,1.681786184316419,2.302238118006728,2.3094855013413476,1.585807758542656,sub-010002,Eyes-Closed,Lemon
T7,1.675269992273415,2.266645817040356,2.3194156517555213,1.677311273006783,sub-010002,Eyes-Closed,Lemon
C3,1.679189612119325,2.3914275646617695,2.2840394180622834,1.4529747765918646,sub-010002,Eyes-Closed,Lemon
Cz,1.6636021452226482,2.373926616128727,2.317746293873138,1.4862152608145627,sub-010002,Eyes-Closed,Lemon
C4,1.662870375850593,2.482306138702472,2.2631108536662374,1.3699402061256138,sub-010002,Eyes-Closed,Lemon
T8,1.6728618781796634,2.310311717657744,2.3094700305897375,1.6011365480729376,sub-010002,Eyes-Closed,Lemon
CP5,1.678491779457286,2.401961582825798,2.284105319273448,1.4674648365796255,sub-010002,Eyes-Closed,Lemon
CP1,1.6679538011285182,2.460136621673023,2.2848087973287576,1.3739692962553316,sub-010002,Eyes-Closed,Lemon
CP2,1.6614796774302958,2.452117930721676,2.2905865392661617,1.3838295817596937,sub-010002,Eyes-Closed,Lemon
CP6,1.6547958189308214,2.5344982739355237,2.2668469702901226,1.4139990337039354,sub-010002,Eyes-Closed,Lemon
AFz,1.6569533165151902,2.472742819568643,2.308575421092961,1.5563736327928233,sub-010002,Eyes-Closed,Lemon
P7,1.6614473065649906,2.530218007287833,2.281134611809166,1.584324797095411,sub-010002,Eyes-Closed,Lemon
P3,1.6627367425827262,2.523649888947288,2.2525474861375145,1.3823461865386542,sub-010002,Eyes-Closed,Lemon
Pz,1.6572073622982593,2.542934947410383,2.298738280118947,1.4661373052132496,sub-010002,Eyes-Closed,Lemon
P4,1.6512874325261375,2.5466676805786856,2.273863673637061,1.3958087306581106,sub-010002,Eyes-Closed,Lemon
P8,1.648237540365205,2.5951353651118536,2.2737424774277954,1.481033236247379,sub-010002,Eyes-Closed,Lemon
PO9,1.6457349134539374,2.6056105258485367,2.2748036018734354,1.4827478182831282,sub-010002,Eyes-Closed,Lemon
O1,1.6440892214801301,2.6641072396260714,2.2601850852272203,1.4551221638542042,sub-010002,Eyes-Closed,Lemon
Oz,1.650830051532161,2.631625586802027,2.2790505135874857,1.6179336178869401,sub-010002,Eyes-Closed,Lemon
O2,1.6409329800692087,2.637803551453468,2.268142739218291,1.5793401181901319,sub-010002,Eyes-Closed,Lemon
PO10,1.652024276452919,2.4044026143165627,2.3013414507093684,1.6022286998106756,sub-010002,Eyes-Closed,Lemon
AF7,1.6871427409351987,2.1547496318752635,2.3152937957957227,1.5275099413482895,sub-010002,Eyes-Closed,Lemon
