Value,Score,Method,Channel,Optimal,What,Participant,Condition,Sampling_Rate,Lowpass,Original_Frequencies,Duration,Dataset
1,0.0004367577074496302,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10698410593855123,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.336889332227565,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.5218785460949479,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6619567115707925,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7497586455346403,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.810562452500219,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.8516904979477766,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8863691104060354,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.9067288366109768,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
11,0.9226316305019572,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
12,0.9401920121442775,AFN,Fp1,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
1,0.0002996200200878156,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10620246245147809,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.3358529056952845,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.5276157496145676,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6573138374003326,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7520235637751596,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.8081661294162625,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.8543324888010887,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8855286765471638,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.9082420658549489,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
11,0.9297789753331337,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
12,0.9413927181921072,AFN,Fp2,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
1,0.0005135114282289972,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10654988380424543,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.3370388126167679,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.5252137874239062,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6554607334393373,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7518110025094831,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.8099223660273005,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.8553272243100676,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8808843661979884,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.9078535649514159,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
11,0.9251347259964046,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
12,0.939640214510794,AFN,F7,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
1,0.00042235366728988246,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10521622146243112,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.33453948627229274,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.5217373370909659,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6634900673516063,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7481205979472909,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.8091806462046724,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.853080426549092,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8884790783047601,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.910762771850824,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
11,0.9240012330580794,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
12,0.936897523073886,AFN,F3,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
1,0.0004226203678793013,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10856866098074396,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.3364975523806507,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.520173530897284,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6568919903577511,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7491749648483116,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.8080148859482801,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.8561219206622854,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8876136353304305,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.9091182729291253,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
11,0.9283701257567117,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
12,0.936171221132993,AFN,Fz,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
1,0.00017042152674368537,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
2,0.10653715175155279,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
3,0.3350098835305001,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
4,0.5240794470573527,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
5,0.6592870579195087,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
6,0.7464704751008062,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
7,0.8098868613775023,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
8,0.8509437219016028,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
9,0.8890365837276036,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
10,0.9057928733186054,AFN,F4,7,Dimension,sub-010002,Eyes-Closed,250.0,50.0,0.0-125.0,7.956333333333333,Lemon
