Notice_Date,Effective_Date,Received_Date,Company,City,Number_Of_Employees,Action_Type
06/22/2015,03/25/2016,07/01/2015,Maxim Integrated Product,San Jose,150.0,Closure Permanent
06/25/2015,10/09/2015,07/10/2015,"Aramark Healthcare Support Services,",Culver City,53.0,Closure Permanent
06/29/2015,09/01/2015,07/02/2015,"Encompass Digital Media, Inc.",Los Angeles,41.0,Closure Permanent
06/30/2015,08/31/2015,07/13/2015,First Transit,Rancho,71.0,Layoff Permanent
06/30/2015,09/15/2015,07/06/2015,KLA-Tencor Corporation,Milpitas,213.0,Layoff Permanent
06/30/2015,08/31/2015,07/06/2015,"Fusion Contacts Centers, LLC",Santa Maria,50.0,Closure Permanent
06/30/2015,08/07/2015,07/06/2015,Symantec Corporation,Mountain View,60.0,Layoff Permanent
06/30/2015,08/31/2015,07/13/2015,First Transit,San Bernardino,127.0,Layoff Permanent
06/30/2015,08/29/2015,07/01/2015,McGraw-Hill Education,Monterey,137.0,Layoff Unknown at this time
06/30/2015,08/30/2015,07/01/2015,Long Beach Memorial Medical Center,Long Beach,90.0,Layoff Permanent
07/01/2015,09/30/2016,07/01/2015,"Bosch Healthcare Systems, Inc.",Palo Alto,55.0,Closure Permanent
07/01/2015,09/10/2015,07/10/2015,Maxim Integrated Product,San Jose,20.0,Layoff Permanent
07/01/2015,09/25/2015,07/07/2015,Bay Bread LLC dba New French Bakery,South San,121.0,Closure Permanent
07/01/2015,06/29/2015,07/07/2015,BAE Systems,San Francisco,78.0,Layoff Temporary
07/01/2015,06/29/2015,07/07/2015,BAE Systems,San Francisco,4.0,Layoff Temporary
07/01/2015,09/07/2015,07/07/2015,Bay Bread LLC dba Bakery Los Angeles,San Fernando,50.0,Closure Permanent
07/01/2015,09/04/2015,07/06/2015,Southern California Edison Company,San Clemente,100.0,Closure Permanent
07/01/2015,09/02/2015,07/01/2015,Leidos,El Segundo,72.0,Layoff Permanent
07/02/2015,09/04/2015,07/06/2015,Boeing Company,Long Beach,56.0,Layoff Unknown at this time
07/02/2015,07/06/2015,07/02/2015,Alphatec Spine,Carlsbad,99.0,Layoff Permanent
07/02/2015,09/01/2015,07/06/2015,"State Fish Company, Inc.",Wilmington,76.0,Closure Permanent
07/02/2015,06/12/2015,07/07/2015,Hewlett-Packard Company,Palo Alto,65.0,Layoff Permanent
07/06/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",San Diego,22.0,Layoff Unknown at this time
07/06/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",Los Angeles,71.0,Layoff Unknown at this time
07/06/2015,09/04/2015,07/06/2015,"Bridgepoint Education, Inc.",San Diego,15.0,Layoff Permanent
07/06/2015,09/04/2015,07/06/2015,"Bridgepoint Education, Inc.",San Diego,7.0,Layoff Permanent
07/07/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",Irvine,22.0,Layoff Unknown at this time
07/08/2015,09/06/2015,07/16/2015,Southern California Edison Company,Rosemead,38.0,Layoff Permanent
07/08/2015,09/06/2015,07/08/2015,Microsoft Corporation,San Diego,129.0,Layoff Permanent
07/09/2015,07/22/2015,07/10/2015,Berkeley Pyramid Alehouse,Berkeley,63.0,Closure Permanent
07/09/2015,09/14/2015,07/10/2015,Fireman's Fund Insurance Company,Novato,35.0,Layoff Permanent
07/10/2015,07/14/2015,07/13/2015,11 Main LLC,San Mateo,35.0,Closure Permanent
07/10/2015,07/14/2015,07/13/2015,11 Main LLC,Chico,44.0,Layoff Permanent
07/10/2015,10/11/2015,07/27/2015,Kmart,Atwater,74.0,Closure Permanent
07/10/2015,10/04/2015,07/24/2015,Sears Holdings Corporation,Cupertino,17.0,Closure Permanent
07/10/2015,10/04/2015,07/24/2015,Sears Holdings Corporation,Cupertino,81.0,Closure Permanent
07/14/2015,09/18/2015,07/20/2015,"Actavis, Inc.",Corona,45.0,Layoff Permanent
07/14/2015,09/14/2015,07/24/2015,"Associate Management Resources, Inc.",San Diego,533.0,Closure Permanent
07/15/2015,07/15/2015,07/15/2015,TaylorMade Golf Company,Carlsbad,64.0,Layoff Permanent
07/15/2015,09/15/2015,07/22/2015,"Oakley, Inc.",Lake Forest,22.0,Layoff Unknown at this time
07/15/2015,09/15/2015,07/22/2015,"Oakley, Inc.",Encinitas,8.0,Layoff Unknown at this time
07/15/2015,09/15/2015,07/22/2015,"Oakley, Inc.",Foothill Ranch,137.0,Layoff Unknown at this time
07/17/2015,09/25/2015,07/21/2015,Maxim Integrated Product,San Jose,11.0,Layoff Permanent
07/17/2015,09/26/2015,07/21/2015,"DS Services of America, Inc.",Pasadena,200.0,Closure Permanent
07/17/2015,09/26/2015,07/21/2015,"DS Services of America, Inc.",Los Angeles,120.0,Closure Permanent
07/17/2015,09/18/2015,07/21/2015,Boeing Company,El Segundo,66.0,Layoff Unknown at this time
07/17/2015,09/18/2015,07/21/2015,Boeing Company,Long Beach,113.0,Layoff Unknown at this time
07/17/2015,07/13/2015,07/21/2015,American Management Services LLC,Monterey,56.0,Closure Permanent
07/20/2015,09/18/2015,07/21/2015,"Minno, Inc.",San Francisco,255.0,Closure Permanent
07/20/2015,12/31/2017,07/22/2015,Toyota Motor North America,Gardena,100.0,Closure Permanent
07/20/2015,12/31/2017,07/22/2015,Toyota Motor North America,Torrance,3000.0,Closure Permanent
07/20/2015,09/30/2015,07/23/2015,"IAP Worldwide Services, Inc.",Mountain View,67.0,Layoff Permanent
07/20/2015,09/30/2015,08/03/2015,Ruan Transportation Corporation,Ripon,78.0,Closure Permanent
07/20/2015,09/18/2015,07/21/2015,"Safeway, Inc.",Pleasanton,14.0,Layoff Unknown at this time
07/21/2015,07/22/2015,07/22/2015,"Cisco Systems, Inc.",San Jose,192.0,Layoff Permanent
07/21/2015,09/15/2015,07/23/2015,Presse LLC dba Cafe de la Presse and,San Francisco,85.0,Closure Temporary
07/23/2015,07/31/2015,07/30/2015,"Turf Terminators, LLC",Los Angeles,94.0,Layoff Permanent
07/27/2015,09/30/2015,08/03/2015,Armstrong Growers,San Juan,56.0,Closure Permanent
07/27/2015,12/31/2015,07/29/2015,"Hank Fisher Properties, Inc. - Leisure",Sacramento,13.0,Layoff Permanent
07/27/2015,10/15/2015,07/29/2015,"Hank Fisher Properties, Inc.",Sacramento,7.0,Layoff Permanent
07/27/2015,09/30/2015,07/29/2015,"Hank Fisher Properties, Inc. - River's",Sacramento,34.0,Layoff Permanent
07/27/2015,09/25/2015,07/27/2015,"Safeway, Inc.",Pleasanton,37.0,Layoff Unknown at this time
07/27/2015,09/30/2015,07/29/2015,"Hank Fisher Properties, Inc. - The",Sacramento,89.0,Layoff Permanent
07/27/2015,10/23/2015,08/04/2015,Hilton San Francisco Union Square,San Francisco,78.0,Layoff Permanent
07/27/2015,09/30/2015,07/29/2015,"Hank Fisher Properties, Inc. - Chateau",Sacramento,42.0,Layoff Permanent
07/27/2015,09/30/2015,07/29/2015,"Hank Fisher Properties, Inc. - Chateau at",Carmichael,57.0,Layoff Permanent
07/28/2015,09/28/2015,08/03/2015,CR Briggs Corporation,Trona,5.0,Layoff Permanent
07/28/2015,09/26/2015,07/31/2015,"Kixeye, Inc.",San Francisco,62.0,Layoff Permanent
07/29/2015,07/28/2015,07/30/2015,Relativity Media,Beverly Hills,33.0,Layoff Permanent
07/29/2015,07/28/2015,07/30/2015,Relativity Media,Beverly Hills,28.0,Layoff Permanent
07/29/2015,09/28/2015,07/30/2015,"Buca Restaurants 2, Inc.(CANCELLED)**",Santa Monica,61.0,Closure Permanent
07/29/2015,09/30/2015,07/29/2015,SPS Distribution Center,Paso Robles,8.0,Closure Permanent
07/29/2015,08/03/2015,08/03/2015,Molycorp Minerals LLC,Mountain Pass,474.0,Layoff Permanent
07/30/2015,09/30/2015,07/30/2015,United Technologies Corporation,San Diego,21.0,Closure Permanent
07/30/2015,09/30/2015,08/03/2015,Binder & Binder,Orange,70.0,Closure Permanent
07/31/2015,10/02/2015,07/31/2015,Boston Scientific Corporation,Fremont,284.0,Closure Permanent
07/31/2015,10/02/2015,07/31/2015,Boston Scientific Corporation,San Jose,171.0,Closure Permanent
07/31/2015,09/30/2015,08/03/2015,"Driscoll's Strawberry Associates, Inc.",Salinas,38.0,Closure Permanent
